social_soft_unjoint_eval_nloss
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,6.2882,1.3457,2.2302,0.842,4.2272,1.7849,0.16,0.01,0.97,1.01,3.92,2.92,0.0,0.0,0.0,0.0,13.020000000000001,12.42
,coupa1,5.262,1.1248,2.1184,0.7514,4.0058,1.6077,0.15,0.0,0.8200000000000001,0.6,4.54,2.53,0.0,0.0,0.0,0.0,13.23,11.57
,gates2,13.7655,5.0055,3.26,1.4857,6.1502,3.1312,0.5,0.0,1.01,0.27,2.37,1.09,0.0,0.0,0.0,0.0,23.1,23.419999999999998
,hyang0,14.9809,2.7681,3.7461,1.2463,7.1647,2.644,0.38,0.0,0.8999999999999999,0.27,2.27,1.0,0.0,0.0,0.0,0.0,13.77,10.979999999999999
,hyang1,15.6531,4.1803,3.3662,1.5451,6.4243,3.2618,0.19,0.01,0.44,0.27999999999999997,1.55,1.26,0.0,0.0,0.0,0.0,14.469999999999999,11.459999999999999
,hyang3,7.803,1.4035,2.6439,0.9702,5.0804,2.0715,0.38999999999999996,0.0,0.67,0.15,1.96,0.83,0.0,0.0,0.0,0.0,32.89,37.980000000000004
,hyang8,4.2016,0.8413,1.9736,0.6978,3.7349,1.4624,0.35000000000000003,0.01,1.41,0.33999999999999997,3.53,1.53,0.0,0.0,0.0,0.0,76.67,79.44
,little0,18.3097,5.6929,4.2793,1.7992,8.015,3.8613,0.29,0.01,0.79,0.21,1.27,0.6799999999999999,0.0,0.0,0.0,0.0,2.07,1.26
,little1,17.6234,5.7934,3.5746,1.4623,6.7984,3.2552,0.38,0.03,1.58,0.8500000000000001,3.7800000000000002,2.52,0.0,0.0,0.0,0.0,10.99,5.04
,little2,17.4935,6.7994,3.582,1.7073,6.969,3.7391,0.36,0.06999999999999999,1.7399999999999998,0.8500000000000001,4.5600000000000005,2.44,0.0,0.0,0.0,0.0,6.329999999999999,2.12
,little3,16.1031,4.5977,3.6042,1.5284,6.8767,3.2824,0.36,0.01,0.88,0.33999999999999997,2.37,1.32,0.0,0.0,0.0,0.0,5.91,2.21
,nexus5,9.3039,4.2568,3.3734,1.7999,6.0955,3.4995,0.01,0.0,0.06999999999999999,0.13,0.61,0.49,0.0,0.0,0.0,0.0,17.01,16.17
,nexus6,6.3904,1.5864,2.7741,1.0616,5.0869,2.1519,0.33999999999999997,0.0,0.5,0.12,1.47,0.52,0.0,0.0,0.0,0.0,56.69,62.35000000000001
,quad0,13.3427,4.717,3.6047,1.8286,6.601,3.6838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad1,12.7105,3.8606,3.7247,1.3908,6.8058,2.7459,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.6500000000000001,0.0
,quad2,20.6614,9.7903,3.7831,2.4442,7.1895,5.6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,12.3
,quad3,20.8723,7.574,4.485,2.2689,8.0758,5.1308,0.0,0.0,1.83,0.19,1.97,0.74,0.0,0.0,0.0,0.0,7.33,12.5

,mean,12.986188235294117,4.196335294117647,3.3013823529411765,1.460570588235294,6.194182352941176,3.113770588235294,0.22705882352941176,0.008823529411764704,0.8005882352941176,0.33,2.1276470588235297,1.1694117647058824,0.0,0.0,0.0,0.0,18.28411764705882,17.718823529411765
,std,5.305380721148311,2.436718518813939,0.7001968792336777,0.48368872436322574,1.2832993036037064,1.1108031496940591,0.16806037801171175,0.017109458320292925,0.5792639405338194,0.3032374336662124,1.4796960316297267,0.9091655552870529,0.0,0.0,0.0,0.0,19.64395642994184,21.689437354010916

spatial_soft_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,5.0191,2.156,1.7369,1.2663,3.3385,2.531,0.29,0.01,0.8699999999999999,0.35000000000000003,5.18,4.24,0.0,0.0,0.0,0.0,11.65,12.43
,coupa1,3.9067,1.7569,1.6045,1.1083,3.0745,2.1605,0.27,0.01,0.8999999999999999,0.53,6.619999999999999,5.390000000000001,0.0,0.0,0.0,0.0,11.5,12.139999999999999
,gates2,12.6348,5.4693,2.7858,1.8926,5.4178,3.7711,1.09,0.0,1.9900000000000002,0.22,3.42,1.23,0.0,0.0,0.0,0.0,23.75,24.490000000000002
,hyang0,11.3812,3.0228,2.8681,1.4197,5.5493,2.889,0.6,0.01,1.58,0.29,2.88,1.18,0.0,0.0,0.0,0.0,9.73,10.69
,hyang1,14.5378,6.3494,3.2599,2.3329,6.2916,4.7142,0.32,0.0,0.75,0.2,1.82,1.15,0.0,0.0,0.0,0.0,11.3,12.75
,hyang3,5.9729,3.334,2.1416,1.6409,4.2059,3.3266,0.65,0.02,1.47,0.38999999999999996,2.9499999999999997,1.72,0.0,0.0,0.0,0.0,36.19,38.879999999999995
,hyang8,2.754,1.2306,1.3638,0.9116,2.6549,1.8514,0.8099999999999999,0.04,2.18,1.04,4.74,3.15,0.0,0.0,0.0,0.0,74.81,79.14999999999999
,little0,15.6677,6.7922,3.314,2.0704,6.3851,4.3241,0.54,0.01,1.49,0.27999999999999997,1.94,0.76,0.0,0.0,0.0,0.0,1.3299999999999998,0.77
,little1,15.4371,5.5988,2.8104,1.7099,5.4472,3.5709,0.58,0.03,2.3800000000000003,0.9199999999999999,4.89,3.0700000000000003,0.0,0.0,0.0,0.0,4.96,6.23
,little2,15.6931,6.0227,2.9331,1.9203,5.8995,4.0571,0.63,0.05,2.53,0.79,5.319999999999999,2.93,0.0,0.0,0.0,0.0,1.8599999999999999,2.13
,little3,13.5741,5.0672,2.9604,1.7769,5.7412,3.6509,0.67,0.01,1.5699999999999998,0.32,3.0700000000000003,1.46,0.0,0.0,0.0,0.0,1.48,1.49
,nexus5,6.398,3.8094,2.5375,1.7971,4.7385,3.538,0.06,0.0,0.19,0.11,0.72,0.45999999999999996,0.0,0.0,0.0,0.0,15.870000000000001,17.52
,nexus6,3.6715,1.8474,1.7385,1.2791,3.254,2.5733,0.5599999999999999,0.0,1.03,0.12,2.23,0.6799999999999999,0.0,0.0,0.0,0.0,62.27,64.97
,quad0,11.8181,4.9126,3.2264,1.8814,5.9958,3.7681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.52
,quad1,11.3372,6.0672,3.3015,2.2271,6.1137,4.2639,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,21.5811,11.9311,3.216,3.008,6.1393,6.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,9.07
,quad3,20.8403,11.7761,4.0924,3.1184,7.6218,6.4084,0.0,0.0,1.5,0.66,1.59,1.0,0.0,0.0,0.0,0.0,10.93,10.93

,mean,11.307335294117646,5.126100000000001,2.6994588235294117,1.844758823529412,5.168741176470589,3.753964705882353,0.4158823529411764,0.011176470588235295,1.2017647058823528,0.3658823529411765,2.786470588235294,1.673529411764706,0.0,0.0,0.0,0.0,16.741764705882353,17.891764705882355
,std,5.67589560613085,2.9936178156007744,0.7227469877519368,0.5808233629019527,1.3559528692394203,1.2323460581304342,0.31963322406138484,0.014904540540376387,0.8060231736131314,0.31127931137256987,1.9786713937460827,1.5130877707774009,0.0,0.0,0.0,0.0,21.038183838885768,22.081553716459176

cnn_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,1.6372,1.6372,0.8187,0.8187,1.8694,1.8694,0.58,0.0,1.39,0.8200000000000001,5.76,5.28,0.0,0.0,0.0,0.0,11.66,11.91
,coupa1,1.2513,1.2513,0.6586,0.6586,1.4975,1.4975,0.4,0.0,1.0999999999999999,0.72,8.15,7.9,0.0,0.0,0.0,0.0,10.879999999999999,11.08
,gates2,5.4373,5.4373,1.4726,1.4726,3.447,3.447,1.55,0.01,1.9900000000000002,0.42,3.4799999999999995,1.92,0.0,0.0,0.0,0.0,22.61,23.66
,hyang0,3.4083,3.4083,1.2366,1.2366,2.8433,2.8433,1.08,0.06,1.63,0.61,2.94,1.91,0.0,0.0,0.0,0.0,10.11,10.71
,hyang1,4.1914,4.1914,1.3205,1.3205,3.0026,3.0026,0.62,0.0,0.88,0.26,2.22,1.6199999999999999,0.0,0.0,0.0,0.0,11.31,11.5
,hyang3,1.6242,1.6242,0.8643,0.8643,1.9542,1.9542,1.1199999999999999,0.08,1.54,0.49,3.08,2.06,0.0,0.0,0.0,0.0,35.79,37.09
,hyang8,1.0757,1.0757,0.7046,0.7046,1.601,1.601,0.95,0.09,2.13,1.22,4.67,3.7800000000000002,0.0,0.0,0.0,0.0,70.21,73.05
,little0,7.0393,7.0393,1.72,1.72,4.0338,4.0338,1.02,0.01,1.51,0.48,1.97,0.9400000000000001,0.0,0.0,0.0,0.0,2.15,2.36
,little1,6.8155,6.8155,1.5198,1.5198,3.5642,3.5642,1.2,0.12,2.42,1.29,6.17,5.050000000000001,0.0,0.0,0.0,0.0,4.87,4.99
,little2,6.8372,6.8372,1.6324,1.6324,3.9708,3.9708,1.26,0.0,2.8400000000000003,1.58,5.89,4.569999999999999,0.0,0.0,0.0,0.0,2.0,2.04
,little3,5.4023,5.4023,1.5399,1.5399,3.5155,3.5155,1.1199999999999999,0.03,1.6500000000000001,0.54,3.05,1.9,0.0,0.0,0.0,0.0,1.7000000000000002,1.79
,nexus5,4.2165,4.2165,1.6135,1.6135,3.3526,3.3526,0.13,0.0,0.25,0.12,0.8099999999999999,0.69,0.0,0.0,0.0,0.0,17.02,17.21
,nexus6,1.8375,1.8375,0.9586,0.9586,2.065,2.065,1.0999999999999999,0.01,1.26,0.16,2.12,1.05,0.0,0.0,0.0,0.0,61.25000000000001,62.88
,quad0,5.165,5.165,1.6418,1.6418,3.6697,3.6697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
